template_id,order,frame_id,prompt_idx,prompt,io_name,s_name,io_token,s_token
abba_t0,ABBA,t0,0,"Then, Nancy and Daniel went to the store. Daniel gave a ring to",Nancy,Daniel,18496,7806
abba_t0,ABBA,t0,1,"Then, Brian and Eric went to the store. Eric gave a ring to",Brian,Eric,8403,7651
abba_t0,ABBA,t0,2,"Then, Emma and Mary went to the store. Mary gave a ring to",Emma,Mary,18966,5335
abba_t0,ABBA,t0,3,"Then, Michael and Jacob went to the store. Jacob gave a ring to",Michael,Jacob,3899,12806
abba_t0,ABBA,t0,4,"Then, Anna and Daniel went to the store. Daniel gave a ring to",Anna,Daniel,11735,7806
abba_t0,ABBA,t0,5,"Then, Helen and Karen went to the store. Karen gave a ring to",Helen,Karen,22695,18678
abba_t0,ABBA,t0,6,"Then, Jason and Jessica went to the store. Jessica gave a ring to",Jason,Jessica,8982,17352
abba_t0,ABBA,t0,7,"Then, Anna and Laura went to the store. Laura gave a ring to",Anna,Laura,11735,16753
abba_t0,ABBA,t0,8,"Then, Kevin and Eric went to the store. Eric gave a ring to",Kevin,Eric,7939,7651
abba_t0,ABBA,t0,9,"Then, Helen and James went to the store. James gave a ring to",Helen,James,22695,3700
abba_t0,ABBA,t0,10,"Then, Jacob and Tom went to the store. Tom gave a ring to",Jacob,Tom,12806,4186
abba_t0,ABBA,t0,11,"Then, Jessica and Tom went to the store. Tom gave a ring to",Jessica,Tom,17352,4186
abba_t0,ABBA,t0,12,"Then, Brian and Alice went to the store. Alice gave a ring to",Brian,Alice,8403,14862
abba_t0,ABBA,t0,13,"Then, Lisa and Karen went to the store. Karen gave a ring to",Lisa,Karen,15378,18678
abba_t0,ABBA,t0,14,"Then, Michael and Helen went to the store. Helen gave a ring to",Michael,Helen,3899,22695
abba_t0,ABBA,t0,15,"Then, Scott and Steven went to the store. Steven gave a ring to",Scott,Steven,4746,8239
abba_t0,ABBA,t0,16,"Then, Karen and Lisa went to the store. Lisa gave a ring to",Karen,Lisa,18678,15378
abba_t0,ABBA,t0,17,"Then, Eric and Tom went to the store. Tom gave a ring to",Eric,Tom,7651,4186
abba_t0,ABBA,t0,18,"Then, Jessica and Alice went to the store. Alice gave a ring to",Jessica,Alice,17352,14862
abba_t0,ABBA,t0,19,"Then, Rachel and Bob went to the store. Bob gave a ring to",Rachel,Bob,15984,5811
abba_t0,ABBA,t0,20,"Then, Eric and Nancy went to the store. Nancy gave a ring to",Eric,Nancy,7651,18496
abba_t0,ABBA,t0,21,"Then, Susan and David went to the store. David gave a ring to",Susan,David,14919,3271
abba_t0,ABBA,t0,22,"Then, Anna and Scott went to the store. Scott gave a ring to",Anna,Scott,11735,4746
abba_t0,ABBA,t0,23,"Then, Alice and Laura went to the store. Laura gave a ring to",Alice,Laura,14862,16753
abba_t0,ABBA,t0,24,"Then, Emma and David went to the store. David gave a ring to",Emma,David,18966,3271
abba_t0,ABBA,t0,25,"Then, Lisa and Mark went to the store. Mark gave a ring to",Lisa,Mark,15378,2940
abba_t0,ABBA,t0,26,"Then, Scott and Anna went to the store. Anna gave a ring to",Scott,Anna,4746,11735
abba_t0,ABBA,t0,27,"Then, Robert and Nancy went to the store. Nancy gave a ring to",Robert,Nancy,5199,18496
abba_t0,ABBA,t0,28,"Then, Jacob and Michael went to the store. Michael gave a ring to",Jacob,Michael,12806,3899
abba_t0,ABBA,t0,29,"Then, Mary and Karen went to the store. Karen gave a ring to",Mary,Karen,5335,18678
abba_t0,ABBA,t0,30,"Then, Helen and Scott went to the store. Scott gave a ring to",Helen,Scott,22695,4746
abba_t0,ABBA,t0,31,"Then, Helen and John went to the store. John gave a ring to",Helen,John,22695,1757
abba_t0,ABBA,t0,32,"Then, Bob and Rachel went to the store. Rachel gave a ring to",Bob,Rachel,5811,15984
abba_t0,ABBA,t0,33,"Then, Jason and Daniel went to the store. Daniel gave a ring to",Jason,Daniel,8982,7806
abba_t0,ABBA,t0,34,"Then, Steven and Jason went to the store. Jason gave a ring to",Steven,Jason,8239,8982
abba_t0,ABBA,t0,35,"Then, Karen and Susan went to the store. Susan gave a ring to",Karen,Susan,18678,14919
abba_t0,ABBA,t0,36,"Then, Mark and John went to the store. John gave a ring to",Mark,John,2940,1757
abba_t0,ABBA,t0,37,"Then, Lisa and Anna went to the store. Anna gave a ring to",Lisa,Anna,15378,11735
abba_t0,ABBA,t0,38,"Then, Jason and Nancy went to the store. Nancy gave a ring to",Jason,Nancy,8982,18496
